,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
4135,"(0, 1)",0,1,510.1149986,300,4,0.216718894,0.036151125,0.847486532,653.5827637,325.4365234,954.4049683,385.8051758,651.8463234,324.7370864,954.3590443,384.544585
4136,"(0, 1)",0,1,510.1149986,300,5,0.208577913,-0.015412897,0.838836105,651.0438232,294.4858398,936.7320557,327.776886,649.5983508,294.1982214,936.7416024,326.6621195
4137,"(0, 1)",0,1,510.1149986,300,6,0.191020109,0.083780275,0.900681532,631.1038208,351.3427734,912.2914429,460.1301575,629.7842591,350.4378075,911.5398001,458.7660267
4138,"(0, 1)",0,1,510.1149986,300,7,0.180163899,0.035107849,0.883935506,627.4074707,324.1580811,896.6217651,401.5355835,626.4375173,323.6987317,896.0967284,400.4859532
4139,"(0, 1)",0,1,510.1149986,300,8,0.174591656,-0.018836565,0.88043106,624.2092896,292.513916,880.7980347,345.269928,623.4791908,292.3433593,880.5695367,344.4200959
4140,"(0, 1)",0,1,510.1149986,300,11,0.135868883,-0.018185029,0.911791638,597.9753418,292.8300476,827.4973145,360.8142395,597.6798348,292.7308201,827.3960583,360.1730075
4141,"(0, 2)",0,2,510.1144485,300,0,0.269024539,0.089362366,0.844923957,687.1342163,359.3262329,805.6630859,237.5688019,683.5817953,357.4450409,798.181979,237.9239318
4142,"(0, 2)",0,2,510.1144485,300,1,0.260804079,0.034739629,0.833390319,683.9452515,326.5386658,807.9938965,207.2766724,680.9828137,325.5106102,800.3630647,208.4728154
4143,"(0, 2)",0,2,510.1144485,300,3,0.232208936,0.08739768,0.878633918,658.3222656,355.6733704,776.0209961,236.7281342,656.0686541,354.3270045,770.159151,237.1076286
4144,"(0, 2)",0,2,510.1144485,300,4,0.221478279,0.03496612,0.865934418,653.5827637,325.4365234,777.4328613,208.2336578,651.8463234,324.7370864,771.4380318,209.3175318
4145,"(0, 2)",0,2,510.1144485,300,5,0.217224399,-0.016412321,0.863513912,651.0438232,294.4858398,777.3447876,180.9502869,649.5983508,294.1982214,771.2236186,182.7414779
4146,"(0, 2)",0,2,510.1144485,300,6,0.196024779,0.085319505,0.92083586,631.1038208,351.3427734,744.6048584,236.5105438,629.7842591,350.4378075,740.3406634,236.8637505
4147,"(0, 2)",0,2,510.1144485,300,7,0.187092189,0.034775743,0.908781525,627.4074707,324.1580811,745.859375,209.4394379,626.4375173,323.6987317,741.4518151,210.3630565
4148,"(0, 2)",0,2,510.1144485,300,8,0.180235041,-0.018986962,0.897895559,624.2092896,292.513916,748.1480713,181.7354889,623.4791908,292.3433593,743.4646921,183.3091335
4149,"(0, 2)",0,2,510.1144485,300,11,0.140142393,-0.017705213,0.931220688,597.9753418,292.8300476,719.1785889,184.3287659,597.6798348,292.7308201,715.7948241,185.617415
4150,"(1, 2)",1,2,510.1157715,300,4,0.226089622,0.028233807,0.866946123,954.4049683,385.8051758,777.4328613,208.2336578,954.3590443,384.544585,771.4380318,209.3175318
4151,"(1, 2)",1,2,510.1157715,300,5,0.216573513,-0.023607486,0.857304238,936.7320557,327.776886,777.3447876,180.9502869,936.7416024,326.6621195,771.2236186,182.7414779
4152,"(1, 2)",1,2,510.1157715,300,6,0.197166614,0.079129251,0.916262708,912.2914429,460.1301575,744.6048584,236.5105438,911.5398001,458.7660267,740.3406634,236.8637505
4153,"(1, 2)",1,2,510.1157715,300,7,0.188680328,0.026880781,0.905325396,896.6217651,401.5355835,745.859375,209.4394379,896.0967284,400.4859532,741.4518151,210.3630565
4154,"(1, 2)",1,2,510.1157715,300,8,0.178528581,-0.023428314,0.891588353,880.7980347,345.269928,748.1480713,181.7354889,880.5695367,344.4200959,743.4646921,183.3091335
4155,"(1, 2)",1,2,510.1157715,300,9,0.157994182,0.078041344,0.950389564,855.8273926,472.565094,716.4537354,236.1639862,855.055226,471.3722543,713.4510237,236.4733393
4156,"(1, 2)",1,2,510.1157715,300,10,0.150333137,0.026406958,0.940562085,841.472229,416.7351685,717.9273682,209.2682037,841.0520397,415.8962881,714.7627912,210.0527043
4157,"(1, 2)",1,2,510.1157715,300,11,0.139258244,-0.022255996,0.923196867,827.4973145,360.8142395,719.1785889,184.3287659,827.3960583,360.1730075,715.7948241,185.617415
