,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_list,y_A_list,x_B_list,y_B_list
3185,"(0, 1)",0,1,510.1149986,300,4,0.219793564,0.034372701,0.854351357,651.9628296,324.6237488,954.3377075,384.5584106
3186,"(0, 1)",0,1,510.1149986,300,5,0.211190824,-0.01791463,0.845671391,649.2260742,293.7268982,936.3703613,326.5447693
3187,"(0, 1)",0,1,510.1149986,300,7,0.183020108,0.033091222,0.891747412,626.2102661,323.3853455,896.0587769,400.4141846
3188,"(0, 1)",0,1,510.1149986,300,8,0.176995962,-0.02078633,0.886680366,623.5053711,292.4198608,880.7424316,344.1922607
3189,"(0, 1)",0,1,510.1149986,300,10,0.145601011,0.032135151,0.928449231,600.8446045,321.6708374,841.2415771,415.6119995
3190,"(0, 1)",0,1,510.1149986,300,11,0.138031106,-0.020188216,0.91914255,597.7822266,292.8343201,827.3389893,360.1614685
3191,"(0, 2)",0,2,510.1144485,300,0,0.277487528,0.087219865,0.869582872,683.8364258,357.3096924,798.302002,237.796814
3192,"(0, 2)",0,2,510.1144485,300,1,0.268563957,0.032134641,0.857332712,680.979126,325.4433899,800.6013184,208.4964905
3193,"(0, 2)",0,2,510.1144485,300,5,0.222595818,-0.019911195,0.886088834,649.2260742,293.7268982,771.376709,182.799942
3194,"(0, 2)",0,2,510.1144485,300,8,0.184585275,-0.022133598,0.919194051,623.5053711,292.4198608,743.7114258,183.1676483
3195,"(0, 2)",0,2,510.1144485,300,11,0.1434628,-0.020607909,0.952564235,597.7822266,292.8343201,715.703125,185.625351
3196,"(1, 2)",1,2,510.1157715,300,5,0.225828354,-0.03169817,0.877957274,936.3703613,326.5447693,771.376709,182.799942
3197,"(1, 2)",1,2,510.1157715,300,8,0.187003185,-0.031139918,0.912054599,880.7424316,344.1922607,743.7114258,183.1676483
3198,"(1, 2)",1,2,510.1157715,300,11,0.145995657,-0.028991477,0.942972565,827.3389893,360.1614685,715.703125,185.625351
